id,unique_id,stage_id,flag,category,tag,keyword,first_editor,last_editor,yomi,content
0,101,101,1,guide,チャレンジモード,遭難地点,koppacha,koppacha,そうなんちてん,これはテストです。
0,102,102,1,guide,チャレンジモード,希望の森,koppacha,koppacha,きぼうのもり,これはテストです。
0,103,103,1,guide,チャレンジモード,樹海のヘソ,koppacha,koppacha,じゅかいのへそ,これはテストです。
0,104,104,1,guide,チャレンジモード,大水源,koppacha,koppacha,だいすいげん,これはテストです。
0,105,105,1,guide,チャレンジモード,最後の試練,koppacha,koppacha,さいごのしれん,これはテストです。
0,201,201,1,guide,チャレンジモード（ピクミン2）,こてしらべの洞窟,koppacha,koppacha,こてしらべのどうくつ,"『ピクミン2』チャレンジモードにおいて、初めから遊べるステージのひとつ。 ステージタイトルにあるようにチャレンジモードの入門的位置付けにあるステージであり、1Fには原生生物が一切存在しない。 チャレンジモードにおいて頻繁に登場するお宝“あのカギ”“知られざる功”“レアメタルS”“レアメタルG”がすべて登場するため、 チャレンジモードの基本ルールに慣れつつ、その雰囲気に親しむのに最適なステージである。 “けだものの穴”4Fを再現した2Fではアカチャッピーも出現するため、戦闘の基本を身につけることもできる。 非常に狭く単調なステージであるため、運搬ルートについて悩むことはまずない。このように全体的に初心者向けという趣のステージだが、一定確率でタマゴムシが出現するステージでもあるため、 タマゴムシを狙い撃つテクニックを磨きたいチャレンジモード上級者にとっても良い練習になるステージであると言える。 ノーミス時全回収のスコアはタマゴムシ無しで34,920点(＋タイムボーナス)である。"
0,202,202,1,guide,チャレンジモード（ピクミン2）,新参者の試練場,koppacha,koppacha,しんざんもののしれんじょう,これはテストです。
0,203,203,1,guide,チャレンジモード（ピクミン2）,神々のおもちゃ箱,koppacha,koppacha,かみがみのおもちゃばこ,これはテストです。
0,204,204,1,guide,チャレンジモード（ピクミン2）,あのひとの庭,koppacha,koppacha,あのひとのにわ,これはテストです。
0,205,205,1,guide,チャレンジモード（ピクミン2）,グリーンホール,koppacha,koppacha,ぐりーんほーる,これはテストです。
0,206,206,1,guide,チャレンジモード（ピクミン2）,地下の温室,koppacha,koppacha,ちかのおんしつ,これはテストです。
0,207,207,1,guide,チャレンジモード（ピクミン2）,鉄人の穴,koppacha,koppacha,てつじんのあな,これはテストです。
0,208,208,1,guide,チャレンジモード（ピクミン2）,赤の洞窟,koppacha,koppacha,あかのどうくつ,これはテストです。
0,209,209,1,guide,チャレンジモード（ピクミン2）,花園を荒らすもの,koppacha,koppacha,はなぞのをあらすもの,これはテストです。
0,210,210,1,guide,チャレンジモード（ピクミン2）,たそがれの庭,koppacha,koppacha,たそがれのにわ,これはテストです。
0,211,211,1,guide,チャレンジモード（ピクミン2）,かくしもちの洞窟,koppacha,koppacha,かくしもちのどうくつ,これはテストです。
0,212,212,1,guide,チャレンジモード（ピクミン2）,コンクリート迷路,koppacha,koppacha,こんくりーとめいろ,これはテストです。
0,213,213,1,guide,チャレンジモード（ピクミン2）,コレクタールーム,koppacha,koppacha,これくたーるーむ,これはテストです。
0,214,214,1,guide,チャレンジモード（ピクミン2）,ショイグモの巣,koppacha,koppacha,しょいぐものす,これはテストです。
0,215,215,1,guide,チャレンジモード（ピクミン2）,大足の穴,koppacha,koppacha,おおあしのあな,これはテストです。
0,216,216,1,guide,チャレンジモード（ピクミン2）,食神のかまど,koppacha,koppacha,しょくじんのかまど,これはテストです。
