id,limited,stage,flag,time,del
1,19,1300,0,0:40:00,0
2,19,1301,0,0:40:00,0
3,19,1302,0,0:40:00,0
4,19,1303,0,0:40:00,0
5,19,1304,0,0:40:00,0
6,19,1305,0,0:40:00,0
7,19,1306,0,0:40:00,0
8,19,1307,0,0:40:00,0
9,19,1308,0,0:40:00,0
10,19,1309,0,0:40:00,0
11,20,1310,0,0:40:00,0
12,20,1311,0,0:40:00,0
13,20,1312,0,0:40:00,0
14,20,1313,0,0:40:00,0
15,20,1314,0,0:40:00,0
16,20,1315,0,0:40:00,0
17,20,1316,0,0:40:00,0
18,20,1317,0,0:40:00,0
19,20,1318,0,0:40:00,0
20,20,1319,0,0:40:00,0
21,20,1320,0,0:40:00,0
22,20,1321,0,0:40:00,0
23,20,1322,0,0:40:00,0
24,20,1323,0,0:40:00,0
25,20,1324,0,0:40:00,0
26,20,1325,0,0:40:00,0
27,20,1326,0,0:40:00,0
28,20,1327,0,0:40:00,0
29,20,1328,0,0:40:00,0
30,20,1329,0,0:40:00,0
