id,event_id,event_title,sub_title,category,user_id,team,score,rps,rps_adjust,result
1,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,kobachi_no_udon,21,0,0,0,w
2,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,Argent2home,21,0,0,0,w
3,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,April_lapispik,21,0,0,0,w
4,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,mercysnow,22,0,0,0,p
5,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,Gorei_50,22,0,0,0,p
6,241221,第１回チャレンジリレー,チャレンジ35万RTA編,チャレンジリレー,NitorosB,22,0,0,0,p
7,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,April_lapispik,23,0,0,0,p
8,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,albut3,23,0,0,0,p
9,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,spark573,23,0,0,0,p
10,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,Argent2home,24,0,0,0,w
11,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,mercysnow,24,0,0,0,w
12,250111,第２回チャレンジリレー,CMAT編,チャレンジリレー,kobachi_no_udon,24,0,0,0,w
13,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,April_lapispik,25,0,0,0,p
14,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,Gorei_50,25,0,0,0,p
15,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,mercysnow,25,0,0,0,p
16,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,Argent2home,26,0,0,0,w
17,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,albut3,26,0,0,0,w
18,250628,第３回チャレンジリレー,期間限定チャレンジ編,チャレンジリレー,spark573,26,0,0,0,w
19,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,albut3,27,0,0,0,w
20,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,Argent2home,27,0,0,0,w
21,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,KSK_yukaripik,27,0,0,0,w
22,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,mercysnow,27,0,0,0,w
23,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,TEL,27,0,0,0,w
24,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,spark573,28,0,0,0,p
25,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,Gorei_50,28,0,0,0,p
26,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,iid01,28,0,0,0,p
27,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,April_lapispik,28,0,0,0,p
28,251213,第４回チャレンジリレー,スウェーデンリレー編,チャレンジリレー,kobachi_no_udon,28,0,0,0,p
29,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,April_lapispik,0,401,0,0,p
30,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,Gorei_50,0,400,0,0,w
31,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,spark573,0,390,0,0,w
32,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,pikitto,0,395,0,0,w
33,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,NitorosB,0,350,0,0,w
34,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,Argent2home,0,360,0,0,w
35,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,mercysnow,0,418,0,0,p
36,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,toripoppo0307,0,408,0,0,p
37,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,Bl6AltMzq5Jx4aM,0,419,0,0,w
38,260110,第１回インスタント研究会,水わたりスクール編,インスタント研究会,koppacha,0,360,0,0,w
39,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,mercysnow,0,632,0,0,p
40,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,albut3,0,625,0,0,w
41,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,pikitto,0,615,0,0,w
42,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,spark573,0,618,0,0,w
43,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,April_lapispik,0,580,0,0,w
44,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,koppacha,0,590,0,0,p
45,260207,第２回インスタント研究会,超重配送センター編,インスタント研究会,NitorosB,0,500,0,0,w
46,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,Gorei_50,0,153,0,0,w
47,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,Bl6AltMzq5Jx4aM,0,162,0,0,w
48,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,mercysnow,0,150,0,0,w
49,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,kobachi_no_udon,0,165,0,0,p
50,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,albut3,0,160,0,0,w
51,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,Argent2home,0,154,0,0,p
52,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,pikitto,0,125,0,0,w
53,260221,第３回インスタント研究会,スナイパールーム編,インスタント研究会,koppacha,0,130,0,0,w
54,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,mercysnow,0,500,0,0,p
55,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,albut3,0,490,0,0,p
56,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,koppacha,0,400,0,0,w
57,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,April_lapispik,0,440,0,0,p
58,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,NitorosB,0,410,0,0,w
59,260328,第４回インスタント研究会,テキパキ水族館編,インスタント研究会,Gorei_50,0,475,0,0,w
60,251018,チャレンジ70万RTA並走会,,RTA並走会,albut3,0,9610,0,0,e
61,251018,チャレンジ70万RTA並走会,,RTA並走会,Gorei_50,0,0,0,0,e
62,251018,チャレンジ70万RTA並走会,,RTA並走会,spark573,0,8422,0,0,e
63,251018,チャレンジ70万RTA並走会,,RTA並走会,kobachi_no_udon,0,12225,0,0,e
64,251018,チャレンジ70万RTA並走会,,RTA並走会,Argent2home,0,0,0,0,e
65,250906,夜の探検初日王決定戦,,その他,Bl6AltMzq5Jx4aM,0,0,0,0,w
66,250906,夜の探検初日王決定戦,,その他,toripoppo0307,0,0,0,0,p
67,250906,夜の探検初日王決定戦,,その他,April_lapispik,0,0,0,0,p
68,250906,夜の探検初日王決定戦,,その他,koppacha,0,0,0,0,p
69,250906,夜の探検初日王決定戦,,その他,NitorosB,0,0,0,0,p
70,250906,夜の探検初日王決定戦,,その他,kobachi_no_udon,0,0,0,0,p
71,250830,Switch借金返済RTA並走会,,RTA並走会,spark573,0,7551,0,0,e
72,250830,Switch借金返済RTA並走会,,RTA並走会,April_lapispik,0,10527,0,0,e
73,250830,Switch借金返済RTA並走会,,RTA並走会,Argent2home,0,8145,0,0,e
74,250830,Switch借金返済RTA並走会,,RTA並走会,kobachi_no_udon,0,7251,0,0,e
75,250726,タマゴムシ取り大会2025,,タマゴムシ取り大会,Bl6AltMzq5Jx4aM,0,101,0,0,w
