id,unique_id,flag,category,tag,keyword,first_editor,last_editor,yomi,content
0,1001,1,rule,ステージ別ルール,コンクリート迷路（タマゴなし）,koppacha,koppacha,こんくりーとめいろ（たまごなし）,このランキングは証拠写真が必須となります。また、証拠写真は「クリア直後のリザルト画面」のみ有効です。   ★このランキングでは、タマゴムシをポッドに運搬した場合の記録は無効となります。
0,1002,1,rule,ステージ別ルール,どっすん迷路（タマゴなし）,koppacha,koppacha,どっすんめいろ（たまごなし）,このランキングは証拠写真が必須となります。また、証拠写真は「クリア直後のリザルト画面」のみ有効です。   ★このランキングでは、タマゴムシをポッドに運搬した場合の記録は無効となります。
0,1003,1,rule,ステージ別ルール,地底警備室（スプレーなし）,koppacha,koppacha,ちていけいびしつ（すぷれーなし）,"このランキングでは、14,410点以上の場合順位にかかわらず証拠写真が必要です。また証拠動画の掲載を推奨しています(強制ではありません)。   ★このランキングでは、ゲキカラ・ゲキニガスプレーを使用したプレイ記録は無効となります。"
0,1004,1,rule,ステージ別ルール,倍々ゲームの穴（12匹縛り),koppacha,koppacha,ばいばいげーむのあな（12ぴきしばり）,"このランキングでは、31,560点以上の場合順位にかかわらず証拠写真が必要です。また証拠動画の掲載を推奨しています(強制ではありません)。   ★このランキングでは、ポポガシグサを2回以上使ったプレイの記録はすべて無効です。"
0,1005,1,rule,ステージ別ルール,遭難地点（20匹縛り),koppacha,koppacha,そうなんちてん（20ぴきしばり）,このランキングでは、204点以上の場合証拠写真が必要です。   ★このランキングでは、ピクミンを21匹以上引き抜いたプレイのスコアはすべて無効です。
0,1006,1,rule,ステージ別ルール,花園を荒らすもの（90秒縛り),koppacha,koppacha,はなぞのをあらすもの（90びょうしばり）,"このランキングでは、40,000点以上の場合証拠写真が必要です。   ★このランキングでは、リザルト画面の「残りタイム」が99以下となっているプレイのスコアはすべて無効です。"
0,1007,1,rule,ステージ別ルール,希望の森（青黄30匹）,koppacha,koppacha,きぼうのもり（あおき30ぴき）,このランキングでは、赤ピクミンを引き抜いたプレイのスコアは無効です。また、青ピクミンと黄ピクミンを合計31匹以上引き抜いたプレイのスコアは無効です。
0,1008,1,rule,ステージ別ルール,天罰の穴（近視縛り）,koppacha,koppacha,てんばつのあな（きんししばり）,このランキングに参加するプレイでは、各フロアの操作開始から脱出までカメラをズームインにしてプレイしなければなりません。計1秒以上カメラがズームイン以外の状態になっているプレイのスコアは無効です。
0,1009,1,rule,ステージ別ルール,秘密兵器実験場（スプレーなし）,koppacha,koppacha,ひみつへいきじっけんじょう（すぷれーなし）,"このランキングでは、27,940点以上の場合証拠写真が必要です。   ★このランキングでは、ゲキカラ・ゲキニガスプレーを使用したプレイ記録はすべて無効となります。"
0,1010,1,rule,ステージ別ルール,神々のおもちゃ箱（999ポコ）,koppacha,koppacha,かみがみのおもちゃばこ（999ぽこ）,"このランキングでは、11,111点以上の場合証拠写真が必要です。   ★このランキングでは、リザルト画面の「かせいだお金」が1,000以上となっているプレイはすべて無効です。"
0,1011,1,rule,ステージ別ルール,食神のかまど（Aボタン縛り）,koppacha,koppacha,しょくしんのかまど（Aぼたんしばり）,"このランキングでは、5,965点以上の場合証拠写真が必要です。   ★このランキングでは、ピクミンを投げる目的でAボタンを使用したプレイはすべて無効です。"
0,1012,1,rule,ステージ別ルール,こてしらべの洞窟（片手縛り）,koppacha,koppacha,こてしらべのどうくつ（かたてしばり）,"このランキングでは、35,040点以上の場合証拠写真が必要です。   ★このランキングでは、コントローラー操作に両手を使ったプレイはすべて無効です。"
0,1013,1,rule,ステージ別ルール,あのひとの庭（スプレーなし）,koppacha,koppacha,あのひとのにわ（すぷれーなし）,"このランキングでは、13,951点以上の場合証拠写真が必要です。   ★このランキングでは、ゲキカラ・ゲキニガスプレーを使用したプレイ記録はすべて無効となります。"
0,1014,1,rule,ステージ別ルール,樹海のヘソ（45匹縛り）,koppacha,koppacha,じゅかいのへそ（45ぴきしばり）,このランキングでは、300点以上の場合証拠写真が必要です。   ★このランキングでは、ピクミンを46匹以上引き抜いたプレイのスコアは無効です。
0,1015,1,rule,ステージ別ルール,炎と水の試練場(スプレーなし),koppacha,koppacha,ほのおとみずのしれんじょう（すぷれーなし）,"このランキングでは、53,850点以上の場合証拠写真が必要です。   ★このランキングでは、ゲキニガ・ゲキカラスプレーを使用したプレイ記録はすべて無効となります。"
0,1016,1,rule,ステージ別ルール,土とんの洞窟(120秒縛り),koppacha,koppacha,どとんのどうくつ（120びょうしばり）,"このランキングでは、24,200点以上の場合証拠写真が必要です。   ★このランキングでは、リザルト画面の「残りタイム」が210以下となっているプレイのスコアはすべて無効です。   ◆01/03：タイトル表記が誤っていたので修正しました (×120秒：○160秒)。残210カウント以下は無効という基本ルールに変更はありません。"
0,1017,1,rule,ステージ別ルール,巨人のトイレ(Yボタン縛り),koppacha,koppacha,きょじんのといれ（Yぼたんしばり）,"このランキングでは、15,430点以上の場合証拠写真が必要です。   ★このランキングでは、操作キャラクターを切り替える動作を行ったプレイングはすべて無効です。"
