stage_id,stage_name,eng_stage_name,stage_sub,type,display,series,parent,time,treasure,pikmin,border1,border2,border3,border4
1313,こてしらべの洞窟（期間限定19）,Explorer's Cave,期間限定チャレンジ,stage,int,2,250905,200,3442,50,0,0,0,0
1314,新参者の試練場（期間限定19）,Novice Training,期間限定チャレンジ,stage,int,2,250905,340,3725,30,0,0,0,0
1315,神々のおもちゃ箱（期間限定19）,Lost Toy Box,期間限定チャレンジ,stage,int,2,250905,250,4713,100,0,0,0,0
1316,あのひとの庭（期間限定19）,Creator's Garden,期間限定チャレンジ,stage,int,2,250905,180,1334,50,0,0,0,0
1317,グリーンホール（期間限定19）,Green Hole,期間限定チャレンジ,stage,int,2,250905,185,1087,50,0,0,0,0
1318,地下の温室（期間限定19）,Hot House,期間限定チャレンジ,stage,int,2,250905,200,891,35,0,0,0,0
1319,鉄人の穴（期間限定19）,Brawny Abyss,期間限定チャレンジ,stage,int,2,250905,230,1423,50,0,0,0,0
1320,赤の洞窟（期間限定19）,Red Chasm,期間限定チャレンジ,stage,int,2,250905,130,1840,40,0,0,0,0
1321,花園を荒らすもの（期間限定19）,Trampled Garden,期間限定チャレンジ,stage,int,2,250905,145,5001,80,0,0,0,0
1322,たそがれの庭（期間限定19）,Twilight Garden,期間限定チャレンジ,stage,int,2,250905,145,2616,50,0,0,0,0
1323,かくしもちの洞窟（期間限定19）,Cryptic Cavern,期間限定チャレンジ,stage,int,2,250905,300,826,10,0,0,0,0
1324,コンクリート迷路（期間限定19）,Concrete Maze,期間限定チャレンジ,stage,int,2,250905,220,460,18,0,0,0,0
1325,コレクタールーム（期間限定19）,Collector's Room,期間限定チャレンジ,stage,int,2,250905,305,4774,50,0,0,0,0
1326,ショイグモの巣（期間限定19）,Dweevil Nest,期間限定チャレンジ,stage,int,2,250905,180,1722,100,0,0,0,0
1327,大足の穴（期間限定19）,Cavernous Abyss,期間限定チャレンジ,stage,int,2,250905,200,561,50,0,0,0,0
1328,食神のかまど（期間限定19）,Snack Pit,期間限定チャレンジ,stage,int,2,250905,150,564,25,0,0,0,0
1329,三色試練場（期間限定19）,Three Color Training,期間限定チャレンジ,stage,int,2,250905,230,1574,60,0,0,0,0
1330,炎と水の試練場（期間限定19）,Hazard Training,期間限定チャレンジ,stage,int,2,250905,400,5317,50,0,0,0,0
1331,鼻息の洞穴（期間限定19）,Cave of Snarls,期間限定チャレンジ,stage,int,2,250905,250,1103,50,0,0,0,0
1332,巨人のトイレ（期間限定19）,The Giant's Bath,期間限定チャレンジ,stage,int,2,250905,350,1470,50,0,0,0,0
1333,土とんの洞窟（期間限定19）,Rumbling Grotto,期間限定チャレンジ,stage,int,2,250905,290,3464,60,0,0,0,0
1334,地底警備室（期間限定19）,Subterranean Lair,期間限定チャレンジ,stage,int,2,250905,90,1378,60,0,0,0,0
1335,ひみつの花園（期間限定19）,The Hidden Garden,期間限定チャレンジ,stage,int,2,250905,200,921,50,0,0,0,0
1336,さらいの洞窟（期間限定19）,Abduction Den,期間限定チャレンジ,stage,int,2,250905,180,1361,60,0,0,0,0
1337,秘密兵器実験場（期間限定19）,Secret Testing Range,期間限定チャレンジ,stage,int,2,250905,250,2734,50,0,0,0,0
1338,倍々ゲームの穴（期間限定19）,Breeding Ground,期間限定チャレンジ,stage,int,2,250905,430,3144,100,0,0,0,0
1339,天罰の穴（期間限定19）,Cave of Pain,期間限定チャレンジ,stage,int,2,250905,160,978,50,0,0,0,0
1340,どっすん迷路（期間限定19）,Bully Den,期間限定チャレンジ,stage,int,2,250905,300,3200,25,0,0,0,0
1341,スナイパールーム（期間限定19）,Sniper Room,期間限定チャレンジ,stage,int,2,250905,255,3252,50,0,0,0,0
1342,デメマダラの巣窟（期間限定19）,Emperor's Realm,期間限定チャレンジ,stage,int,2,250905,500,3097,74,0,0,0,0
